title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Childhood Friend,Laura Kasischke,"Dec 20, 2015",http://poetry.lib.uidaho.edu/index.php/poems/childhood-friend/,negative,-0.1378,0.1241,0.1777,0.1297,0.5751,0.4579,Ancient violets; sequined girl; small stuff; childhood flowers; specks; blizzard; roar; flakes; elephants; accumulation; trapeze; clowns; friend; breeze; desks; bees; bus; Asthma; circus; Sand; wings; words; scales; path; dust; stars; skin; living; children; sun; noose—; dander; birds; man; hair
January,Laura Kasischke,"Mar 3, 2016",http://poetry.lib.uidaho.edu/index.php/poems/january/,negative,-0.0899,0.0377,0.0690,0.2554,0.4689,0.2222,tiny bees; howling; Sweetheart; bits; winter; miniature; wind; spring
Macaroni & Cheese,Laura Kasischke,"Feb 13, 2016",http://poetry.lib.uidaho.edu/index.php/poems/macaroni-cheese/,negative,-0.0859,0.4038,0.1301,0.1850,0.5349,0.5079,strange slow snow; dreamy circles; Love. Hunger; black bird; dish; cloth; sweetening; carcass; Darling; pale; reflection; oven; breathing; eyes; shape; God; them—; road; sky; alchemies; woman; Santa; center; Jesus; heart
Valentine,Laura Kasischke,"Apr 28, 2016",http://poetry.lib.uidaho.edu/index.php/poems/valentine/,positive,0.0191,0.1813,0.1276,0.0102,0.1764,0.5001,sheer silk blouse; bra worn; pale tablecloth; mother; blood stain; black lace; white carpet; red thread; doves; scarlet; burgundy; cage; vein; needle; love; glass
The Thigh,Laura Kasischke,"Feb 29, 2016",http://poetry.lib.uidaho.edu/index.php/poems/the-thigh/,negative,-0.1415,0.1039,0.4153,0.5353,0.2958,0.5596,drowned blue butterflies; calm milked cows; warm pool; mindless shore; boy’s fingers; silk sack; vaporous voices; dead ebbing; naked man; white fish; forest floor; thigh; moony; withdraws; water; hem; harpoon; Sleeve; proof; flesh; clover; tone; sword; pale; weapons; world; bone; Clothing; shadow; deck; bath; meat; living; memory; skirt—guess; club; field; flowers
Elegy,Laura Kasischke,"Apr 5, 2016",http://poetry.lib.uidaho.edu/index.php/laura-kasischke/elegy-2/,negative,-0.1104,0.1495,0.4671,0.4005,0.0498,0.0302,train speeding; snowy forest; vast North; humble student; greatest authority; hidden mechanics; red cloth; cell phone; rearview; fogging; waving; sink; emptiness; mouth; lust; passport; rust; silence; staging; Travels; coat; flag; Bureau; morning; doors; dream; Germany; plans; bed; edge; need; ocean; car; wine
Control Group,Lisa Olstein,"Jan 6, 2016",http://poetry.lib.uidaho.edu/index.php/poems/control-group/,negative,-0.3337,0.1187,0.1159,0.5952,0.1949,0.6165,Jupiter AM-18 rocket; Blind babies; solitary locust; mute child; orphan crying; Miss Baker; mother’s tit; flat screen; steel walls; monkey; cage; pelicans; mosquitoes; hangs; sight; sentences; enclosure; Mice; ghosts; infant; Consumers; monitors; hero; schedule; person; experiment; dirt; leather; skin; animal; bridge; board; number
Elegy,Lisa Olstein,"Jan 28, 2016",http://poetry.lib.uidaho.edu/index.php/poems/elegy/,negative,-0.1301,0.1181,0.1506,0.1421,0.2067,0.5175,n’t finding; mirrored highway; flight brains; missing-person flyers; river; death; hummingbird; yard; decay; vein; Newspapers; cloths; coordinates; bodies; flags; tape; degrees; tree; road; body; experts; cliché; degree; sea; sun
Notes from the Wilderness,Lisa Olstein,"Mar 22, 2016",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/notes-from-the-wilderness/,positive,0.0029,0.0914,0.0859,0.1890,0.5229,0.4590,cloud forests; cloud seas; milk-white hands; real work; Colors pool; Shh; mist; blanket; door; eyes; banks; laboratory; sound; method; moon; eye
Smaller Devices,Lisa Olstein,"Mar 28, 2016",http://poetry.lib.uidaho.edu/index.php/poems/smaller-devices/,negative,-0.3155,0.1482,0.1041,0.1496,0.4282,0.4758,late season grasses; sympathy; Flashes; feelings; alarms; rituals; seasons; heart; news; machine; records; file
This is a Test of the Internal Emergency Broadcast System,Lisa Olstein,"Dec 9, 2015",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/this-is-a-test-of-the-internal-emergency-broadcast-system/,negative,-0.0641,0.5396,0.1553,0.2048,0.1881,0.4299,little girl; bright green snake; Hungry deer step; small glass bird; spotted mice; pet store; way home; paper bag; elevated heart; velvet-gloved legs; red-tipped posts; steel envelope; drive look; suds; underfoot; prepaid
The Brain Is an Operations Center,Lisa Olstein,"Dec 13, 2015",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/the-brain-is-an-operations-center/,negative,-0.4603,0.1002,0.1028,0.5616,0.1250,0.4114,cartoon animal friends; good-enough woods; blankness shame; heartbeats; sharpshooter; raccoon; geese; coyotes; trigger; body; sky; boy; air; way
The Famed Clipper Is in Flames,Lisa Olstein,"May 1, 2016",http://poetry.lib.uidaho.edu/index.php/lisa-olstein/the-famed-clipper-is-in-flames/,negative,-0.1350,0.1348,0.1266,0.2119,0.5407,0.2470,saffron gates; ship; assassin; experiment; circles; clock; hands; warning; lamb; face; half; amnesiacs; river; factory
Themselves Performing Small Brave Acts,Lisa Olstein,"Apr 23, 2016",http://poetry.lib.uidaho.edu/index.php/poems/themselves-performing-small-brave-acts/,negative,-0.2198,0.1730,0.4884,0.3907,0.2510,0.4730,fellow passenger; poor bastards; hollow pen; extra sweaters; new mate; cold places; way; Books; bear; city; airway; pylons; alligator; pockets; neck; nests; raptors; mates; packs; men; mountaintops; food
To Where,Lisa Olstein,"Mar 19, 2016",http://poetry.lib.uidaho.edu/index.php/poems/to-where/,negative,-0.0718,0.1605,0.1232,0.4048,0.2672,0.4936,n’t matter; favorite thing; morning; half their brains; favorite time; home; berries; clothes; girl; bones; breathing; winter; word; sharks; mammals; problems; dark; dream
Photograph,Valzhyna Mort,"Jan 13, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/photograph/,positive,0.0670,0.0946,0.4160,0.1809,0.4755,0.4405,ancient red fortress; black body bags; watermelon fortress; excellent grade; sweaty palms; pit holes; print blurs; enormous mother; report card; red bricks; man’s body; hand; Lifeline; leg; signifier; beach; blood; Sochi; thermometer; slice; Honeymoon; confidence; enemy; smiles; legs; knee; passengers; Sochi.; eyes; airplane; corner; boy; length; page; horror; list; line; relief
Sylt II,Valzhyna Mort,"Mar 27, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/sylt-ii/,negative,-0.2350,0.0925,0.1840,0.5882,0.4713,0.2580,rival chess pieces; inaccurate cashier; Organ pedals; unmatched pieces; softest spot; cold radiator; wind; Organ pipes; tree; child; church; wall; weight; body; stillness; rots; plump; blister; strawberry; fist; mouth; shade; hair; sand; feather; scales; snake; ocean; grapes; walls; dust; head; sun; light; room; furniture; rock; time; ground; branches; feet
A Poem about White Apples,Valzhyna Mort,"Feb 8, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/a-poem-about-white-apples/,negative,-0.1666,0.1980,0.6305,0.0263,0.0698,0.1023,white apples; white winter snow; black waters; green ocean; cotton wool; teeth; crispy; murderers; smell; breasts; fishermen; garbage; mothers; shells; dreams; skin; baby; summer; gardens; men; earth; weight; salt…
Factory of Tears,Valzhyna Mort,"Jan 3, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/factory-of-tears/,negative,-0.0801,0.1038,0.1194,0.0929,0.3795,0.4775,Tears; highest productivity results; Food Refinery Station; annual report; compound fractures; night shifts; Heart Affairs; new records; heroic Factory; Department; calluses; cheeks; catastrophe; heels; wages; recipient; wastes; memories; eyes; Transportation; holidays; technology; pictures; employees
Grandmother,Valzhyna Mort,"Dec 29, 2015",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/grandmother/,negative,-0.1373,0.0849,0.2882,0.0392,0.0389,0.5465,hair bees; unshaven cheek; red sticks; strong god; white moon; grandmother; pain; famine; pills; knees; stork; grapevine; chest; embrace; poverty; legs; wealth; skull; thing; wings; arms; wolf; water; nutrition; body; sun-speckles; heart; internet
Hospital,Valzhyna Mort,"Jan 19, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/hospital/,negative,-0.0275,0.2518,0.1743,0.0589,0.0798,0.5127,cement wall; colorful universe; medusa; starfish; cheek; senses; sink; moment; tops; eyes; time; head; earth; body; memory
Music of Locusts,Valzhyna Mort,"Mar 10, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/music-of-locusts/,negative,-0.0283,0.1727,0.0510,0.1918,0.4409,0.1571,small freckle; gigantic tortoises; middle-aged man; green t-shirts; locusts; god; wish; wind; color; eyelashes; teenager; nose; dusk; pond; coin; runners; Security; summer; wheels; air; heart; mountains; line; skin; road; army; night; body; sun; music
On a Steamer,Valzhyna Mort,"Mar 24, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/on-a-steamer/,negative,-0.2612,0.0421,0.2351,0.1832,0.1639,0.4124,huge overturned christmas; lamps; branches; night; city; holiday; tree
Untitled 1,Valzhyna Mort,"Dec 11, 2015",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/untitled-1-2/,negative,-0.3671,0.0518,0.0408,0.4902,0.0004,0.5472,huge book cemetery; dark bedrooms; yellow lamp; mass grave; books; cold bed; sensitive book; black letters; old books; books age; memory; pages; bathtub; Millbrook; stays; apartments; pillow; graves; scream; bell; dinner; road
Untitled 2,Valzhyna Mort,"Feb 14, 2016",http://poetry.lib.uidaho.edu/index.php/valzhyna-mort/untitled-2/,negative,-0.0875,0.0600,0.0906,0.0669,0.0243,0.7948,gigantic water birds; white stone houses; warm flame; school notebooks; immaculate conception; homeless dog; tv sets; ocean shore; legend; A.B; somebody; stranger; leash; mothers; faces; candles; towns; eggs; morning; skin; captain; class; world; night; lines; cities; omelets
"It Buds, It Bends, It Dies in the Glare",Mark Bibbins,"Mar 29, 2016",http://poetry.lib.uidaho.edu/index.php/mark-bibbins/it-buds-it-bends-it-dies-in-the-glare/,negative,-0.2265,0.0376,0.1190,0.3922,0.0255,0.4901,Kristin Hersh; blood footprints; bathroom tile; fault; aperture; shredding; shirt; sandstone; Limit; math; slur—; direction.; youthface; box; snowsqualls; snails—none
We are not kissing and the river,Mark Bibbins,"Jan 10, 2016",http://poetry.lib.uidaho.edu/index.php/poems/we-are-not-kissing-and-the-river/,negative,-0.2134,0.2033,0.0886,0.2118,0.0082,0.6490,long ascent; boat; glass; mainsail; mimesis; sill; knuckle; lips; delay; fingerprints; doubt; finger; half; night; colors; tricks; lights; sex; simple; trajectory—and; form; chain
There Is No You Are Everywhere,Mark Bibbins,"Jan 30, 2016",http://poetry.lib.uidaho.edu/index.php/poems/there-is-no-you-are-everywhere/,negative,-0.1787,0.1693,0.0748,0.1859,0.3277,0.5301,insufficiently scandalous secrets; rebate checks; lobby floor—account; thigh; undoing; birthright; gulls; evening; Desire; mailbox; spill; motion; want; Brooklyn; right; home
Conifers,Mark Bibbins,"Feb 22, 2016",http://poetry.lib.uidaho.edu/index.php/poems/conifers/,negative,-0.1789,0.1330,0.1411,0.5879,0.0268,0.1908,yellow whatsit overhead; closeted end; dormant sumac; fossil record; distraction weave; starless January.; white hill; crepuscular trees; mettle; advice; selflessness; cheeks; twigs; burns; afternoon; regard; scarves; perception; thing; boots; animal; snowmobile; hood; stream; scouts; snow
Almost as Good as What We Destroyed,Mark Bibbins,"Dec 16, 2015",http://poetry.lib.uidaho.edu/index.php/poems/almost-as-good-as-what-we-destroyed/,negative,-0.0466,0.5195,0.1043,0.4637,0.1286,0.3112,cool air forcing; real idiocy—how; unfamiliar roads; sensation rips; fewer possibilities; blue light; different seat; hand; perks; onscreen; outrage; taxis; waiting; incline; fluke; Vespa; adhere; scrub; cliff; night; canal; foot; bus; passenger; vehicle; book; table; contents; index—; truck; person; words; schedule; description; wing; skin
Poem That Wants to Know When You're Taking out the Trash,Mark Bibbins,"Dec 6, 2015",http://poetry.lib.uidaho.edu/index.php/poems/poem-that-wants-to-know-when-youre-taking-out-the-trash/,negative,-0.2144,0.1728,0.1443,0.4296,0.2594,0.3084,hydraulic squeal; garbage night; breadth; wounds; sentence; fingers; reward; punishment; sort; depth; thing; opinion; people; way; living; paper; advice
Look Who Came Dressed as the Sun,Mark Bibbins,"Apr 12, 2016",http://poetry.lib.uidaho.edu/index.php/poems/look-who-came-dressed-as-the-sun/,negative,-0.2363,0.4431,0.1961,0.1713,0.0923,0.7017,pale green thing; ironic detachment; takeout salad; orange notebook; extra fingers—it; stories end; sincerity; ambition; mouth; cradle; lizard; handle; seed; wind; critic; energy; Figure; joy; source; train; meat; blame—; man
Factory,Mark Bibbins,"Jan 27, 2016",http://poetry.lib.uidaho.edu/index.php/poems/factory/,negative,-0.4909,0.2647,0.2626,0.2769,0.0026,0.3199,white inedible core; requisite layers; hideous truth; adjacent bridges; n’t painting; different paintings; things; disappointment; city; despair; factory; distractions; leek; strings; animal; instruments; songs; song
Clouds Mistaken for Nearby Clouds,Mark Bibbins,"Dec 18, 2015",http://poetry.lib.uidaho.edu/index.php/poems/clouds-mistaken-for-nearby-clouds/,positive,0.1734,0.0313,0.0049,0.2211,0.0186,0.8030,tiny neon frogs; baroque jellyfish; melody; Hush; daylight; irony; god; moon; album
Untitled 1,Sherwin Bitsui,"Mar 14, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-1/,negative,-0.3776,0.3570,0.4230,0.2298,0.0028,0.1498,insect husks; gull wings; elk teeth; paper sack; cracked amber—; double helix; living-room ceiling; electric sockets; kitchen sink; tree trunk; cold air; chlorine-stained floor; zigzag; whispers; stomp; corners; stems; strand; eyes; tin; leaves; sand; songs; sounds; hisses; hair
Untitled 2,Sherwin Bitsui,"Dec 12, 2015",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-2-2/,negative,-0.5394,0.0809,0.1127,0.2813,0.0045,0.6340,yellow dawn eclipse; flickering finger; electrical wires; monsoon rain; yellow sign; autobiographical muscle; metallic leaves; Stop signs; charcoal sheets; phosphorescence; blinks; thawing; slices; basement; bricks; eyes; hunger; memory; house; trees
Untitled 3,Sherwin Bitsui,"Dec 10, 2015",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-3/,negative,-0.2454,0.1281,0.6349,0.1385,0.0006,0.3093,wren eggs; drowned herons; eyelash hair; mud-covered hooves; half moths; rain-stained earth; gunfire; ellipses; ax; beaks; mouths; onions; drought; crow; entrance; nail; sap; bees; shoes; eyes; hand; summer; speech
Untitled 4,Sherwin Bitsui,"Feb 21, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-4/,negative,-0.2090,0.1877,0.5159,0.2095,0.0408,0.1137,butcher’s thumbprints; soft whispers; dry stem; square cage; paper crane; marrows; silences; dove; nest; turtles; apple; water
Untitled 5,Sherwin Bitsui,"Mar 5, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-5/,negative,-0.4819,0.3505,0.3732,0.3846,0.0024,0.0586,leave paw; tangled hair; fishing line; stings; mare; bait; mattress; wolves; room; swore
Untitled 6,Sherwin Bitsui,"Mar 15, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-6/,negative,-0.5054,0.1669,0.1119,0.3280,0.0494,0.4305,children whisper night—; amniotic clouds; yellow teeth; drowned hummingbirds; double-plumed birdsongs; fi eld—; car exhaust; eagle-bone whistles; beaks; ears; lambs; body; deboned—; nation; ringlets
Untitled 7,Sherwin Bitsui,"Feb 2, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-7/,negative,-0.2314,0.2993,0.1900,0.1706,0.0215,0.4341,fossilized amber; closed hands; pale origin—; gas lamps; mosquito; twig; knife; rain; fall
Untitled 8,Sherwin Bitsui,"Jan 21, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-8/,negative,-0.5584,0.0764,0.2664,0.2722,0.0292,0.4758,ooze white gas; crushed turquoise; leopard spots; softened bellies; copper wire; loom yarn; canyons; Coyote; radon; cranes; electricity; drilling; windows; floor
Untitled 9,Sherwin Bitsui,"Mar 25, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-9/,negative,-0.5655,0.1282,0.3935,0.3772,0.0023,0.2603,Gnawing coarse hair; wring bear blood; handspun red wool; ink-splattered eaves; darkened house; turtle hide; whale bones; ribs; reeds; flood; survivor; horse; neck; loom; face; skin
Untitled 10,Sherwin Bitsui,"Feb 10, 2016",http://poetry.lib.uidaho.edu/index.php/sherwin-bitsui/untitled-10/,negative,-0.1954,0.0095,0.4726,0.5034,0.0236,0.0909,sandstone canyon; closed ears; luminous landmines; bursting sun; darkened room; squash blossoms; ghost dogs; police sirens; water jars; wet hair; white sand; throats; cornfield; warmth; licks; gnats; footprints; starlight; gloves; flame; hands; feet; thunder; nbsp; song
Beached,Sarah Lindsay,"Dec 26, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/beached/,negative,-0.0573,0.0591,0.2435,0.2388,0.0313,0.5152,leaky cup; miserable wind; squint eye; pittance spill; blue skin; blowhole; pupil; belly; hands; hurricane; rolls; smoke; water; Earth
How I Was Born,Sarah Lindsay,"Jan 1, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/how-i-was-born/,negative,-0.4563,0.2418,0.1734,0.4243,0.1819,0.4729,pale young men; powdered sugarcane; zipper teeth; anemic rats; defective marrow; protein mesh; salty food; warm spaces
If God Made Jam,Sarah Lindsay,"Mar 21, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/if-god-made-jam/,negative,-0.1034,0.1956,0.7408,0.0132,0.0716,0.0301,Aunt Lydia; Cousin Bobby; Christmas lights; new home; rainy morning; stiff hands; earthly bread—; God’s jam; raspberry bite; royal-red jar; fireflies; berries; pip; rainbows; comma; jars; crusty; lid; Gloria; teeth; catechism; deity; preserves; grass; friend; news; people
Magnitude Aunt Lydia Does Stretching Exercises,Sarah Lindsay,"Jan 25, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/magnitude-aunt-lydia-does-stretching-exercises/,negative,-0.1356,0.0972,0.4635,0.1693,0.2114,0.5741,soft sweet cheese; universe bluntly prints; unhatched robin-blue planet; coarse fabric weave; firmer cheese; curdy lumps; daily bread; delicious veins; windborne impurities; swinging pail; milch cow; desirably rank; black holes; dark matter; blue mold; wave functions; square roots; rennet; curls; earths; flanks; spirals; streaks; whey; milk; fleck; burlap; hooves; vat; Rifts; breadth; smell; chickens; stardust; gases; egg; rim; batch; corn; barn; congeals; metals; elements; head; Earth
Origin,Sarah Lindsay,"Feb 28, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/origin/,positive,0.0815,0.0977,0.0420,0.1467,0.0574,0.6975,incomparable curvaceous length; endoplasmic reticulum; abundant salts; Golgi apparatus; inner conflict; sharp heat; bitterness; cell; deceit; loneliness; Fed; nucleus; incidence; predator; prey; RNA; strength; thing; pastel; kind; sun; water; film; magnificent.; descendants
Radium,Sarah Lindsay,"Dec 19, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/radium/,negative,-0.1015,0.1387,0.4708,0.1186,0.2541,0.2722,united gaze resting; radium salts; bubbling sauerkraut; industrial waste; skinny hausfrau; radioactive hair; past uranium; radioactive hand; beautiful color; dirt reduction; hidden element; Nobel Prize; smallest fingernail—just; pine needles; brown dust; lovely light; illegal schooling; brain cells; unheated rooms; calcium; hands; Sorbonne; rheumatism; Colorless; scraping; patience; knees; equilibrium; subsistence; pile; vat; determination; fingers; tons; marrow; hunger; bent; legs; boots; wife; gifts; theory; dirt—; husband; existence; woman; clothes; Proof; discovery; pitchblende
The Common Octopus,Sarah Lindsay,"May 2, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/the-common-octopus/,negative,-0.2711,0.1103,0.4579,0.1782,0.1614,0.5213,octopus; fleshy lids; purple squares; purple cloud; sucking cups; ocean floor; bones; armpit; voice; tassel; shiver
The Mummy Walks,Sarah Lindsay,"Jan 16, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/the-mummy-walks/,negative,-0.3592,0.2105,0.2098,0.1415,0.1973,0.3295,pale slender stalks; pure burnt mineral; right foot; twisted mouths; Long morels; oyster caps; strange fungus; wet gutters; available grain; gilled umbrellas; daylight traffic; puffballs; lids; bandages; ribs; mushrooms; tongue; remnants; teeth; ears; spores; collar
Whale Feathers,Sarah Lindsay,"Apr 1, 2016",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/whale-feathers/,negative,-0.1954,0.0725,0.4348,0.1261,0.2450,0.5491,pipe shrill melodies; tiny whales; shabby plumage; cloudy fathoms; tropical shallows; courtyard ponds; luminous particles; iridescent amethyst; white twigs; neat turn; Stone records; molting seasons; implausible story; comprehensible world; swift creatures; penguin feathers; tube worms; musical bubbles; basement aquarium; Little Sargassos; kingdom bereft; open jaw; ocean floor; tyrannosaurs; plumes; brow; cracks; perch; Leviathan; ribs; trailing; lizards; cracker; beasts; chickens; puff; giants; ancestor; streams; time; scarves; finger; marvel; titanothere; echo; fur; mouse; rivers; head; size
Without Warning,Sarah Lindsay,"Dec 30, 2015",http://poetry.lib.uidaho.edu/index.php/sarah-lindsay/without-warning/,negative,-0.1741,0.0760,0.4342,0.5437,0.1940,0.5865,greedy insects; Elizabeth Bishop; graceful hand; laughing smile; termite eggs; casual shift; solid furniture; latent sinkhole‚; great height—; windless mornings; hard-learned lesson; hollowed-out table; joy—a landscape; floor; forethought; bruise; gesture; termites; flung; legs; abundance; fact; moment; elbow; permission; breath; Florida; hurricanes; fear; warning; weight; shell; arm; room; proof; feet; Trees; holes; fall; people; dust; children
"Wave Before Leaving, Wave",Roger Reeves,"Jan 24, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/wave-before-leaving-wave/,negative,-0.5198,0.6195,0.2035,0.2226,0.1263,0.5647,clawed feet; closed door; dark hand; half-moon; man; lip; sewer; throat; anger; rage; mouth; bottle; avalanche; Noah; fountain; evening; bed; God; night; square; bird; light; hair; palm; streetlamp; house
The Parable of a Blade of Grass,Roger Reeves,"Jan 11, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/the-parable-of-a-blade-of-grass/,negative,-0.0283,0.0209,0.3115,0.5625,0.1283,0.0747,city; old men; blade; grass; nbsp; flesh; small doors; heap stones; enters; young tongues; town gather; dirt-stained lips; house walls; city walk; children; city snap; couple; old women; knees; hands; watch; edge; thighs; whisper; hush; skirts; crawl; mice; backs; street; square; legs; heat; eyes; dust; flood
Shadowboxing Herons,Roger Reeves,"Mar 31, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/shadowboxing-herons/,negative,-0.1102,0.1067,0.2051,0.1662,0.3206,0.4786,Wu-Tang Clan; Bobby Digital; black sword; Cash rules; Japanese pines; blood; streetcar; herons; slaughter; skylight; Shaolin; deposits; desire; ode; bullet; chest; wings; chamber; banks; flowers; snow; angel; skull-cup; box; children; water; saint; men; world; animal
"Samba in São Cristóvão, or Temporary Flight",Roger Reeves,"Feb 19, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/samba-in-so-cristvo-or-temporary-flight/,negative,-0.3236,0.1659,0.1695,0.1390,0.2277,0.5190,pretty clothes; store windows; heart yearns; cold beer; bee lust; fugitive body; rhododendron bush; body necromancing; blue egg; lover; shadow; flight; valley; foot; Ipanema; property; piles; tines; mannequins; lips; cobblestone; pigeons; wrist; dummies; beneath; tongue; feet; permission; bottles; attempt; bees; breath; rage; needle; mouth; rhythm; floor; cloud; metro; city; thread
Romanticism (the Blue Keats),Roger Reeves,"Dec 4, 2015",http://poetry.lib.uidaho.edu/index.php/roger-reeves/romanticism-the-blue-keats/,negative,-0.2307,0.1164,0.4760,0.1277,0.2325,0.5731,stuttering harp; gimp hermit; late-summer heat; baffled heart; ankle clicking; tattered rags; leg my uncle; redheaded trees; wet borders; tomato plants; hiding love; cedar poles; plum heart; savage wind; terrace; bamboo; body; city; persimmons; house; wrists; crickets; veranda; persimmon; burden; Tore; midsummer; fool; grotto; lover; streets; feet; losing; diamonds; monk; mouth; garden; vine; painting; violence; sage; mud; sleep; hands; angels; ropes; Woman; water; tents
Frail Bridges,Roger Reeves,"Dec 28, 2015",http://poetry.lib.uidaho.edu/index.php/roger-reeves/frail-bridges/,negative,-0.3175,0.1361,0.6075,0.2163,0.1851,0.5146,small phone booths; brown diphthongs; slow tongue; hyssop bush; belly coos; nuisance—a man; leaf; eyelash; Behold; beating; hips; light; snail; mouth; pigeons; turtle; stem; branches; lovers; light.; hair; moon; bed; war
Epithalamium,Roger Reeves,"Apr 20, 2016",http://poetry.lib.uidaho.edu/index.php/roger-reeves/epithalamium/,negative,-0.1047,0.3032,0.4542,0.0488,0.2531,0.0138,breathless city; temporary house; champagne gnaw; red yawning; feeding nothing—mosquito—lover—; yawn light; elbow; lovers; lungs; mouths; mosquitoes
Against Its Own Ringing,Roger Reeves,"Dec 8, 2015",http://poetry.lib.uidaho.edu/index.php/roger-reeves/against-its-own-ringing/,negative,-0.4418,0.1173,0.4087,0.6600,0.1256,0.5287,metallic fish gather; bell broken; exhausted feet; woolen snood; barbwire fence; marble eyes; barest imagination; creek mis-practicing; body; tines; baptizing; scare; scar; chandelier; scattering; head; ringing; browning; Crow; meadow; diamonds; desire; corn; kind; Timothy; crown; hair; winter; Unsnack; Leers; spring; deer
After Love,Roger Reeves,"Dec 25, 2015",http://poetry.lib.uidaho.edu/index.php/roger-reeves/after-love/,negative,-0.3020,0.1217,0.1162,0.4994,0.1543,0.5402,mule slips; soft tongue; harvest wagon; ghost ride; three-legged foal; n’t sting; Indian summer; corn; honey; collarbone; pews; husk; hive; comb; fog; gossip; row; barn; suicide; stream; wind; hollow; house; time
Albert Einstein,Matthew Zapruder,"Apr 2, 2016",http://poetry.lib.uidaho.edu/index.php/poems/albert-einstein/,negative,-0.1164,0.0845,0.0669,0.0601,0.4270,0.3811,small red saucepan; sip false peace; tired children; worldly nature; gray book; beautiful guesses; cook eggs; eternal leaves; light speed; radio sunlight; plastic plant; news concerning; cool summer; southern coast; old determinist; people; comforts; confusing; arrows; electrons; decades; relativity; clocks; sails; towers; father; harness; powers; morning; diagrams; bed; train; play; songs; window
It Is Tuesday,Matthew Zapruder,"Dec 27, 2015",http://poetry.lib.uidaho.edu/index.php/poems/it-is-tuesday/,positive,0.0062,0.0857,0.2630,0.1566,0.0289,0.5616,mushroom soup; plastic beads; ancient reasons; forgot; paperback; afternoon; closets; 70s; rain; hear; doors; coffee; traffic; parents
Poem for Happiness,Matthew Zapruder,"Feb 1, 2016",http://poetry.lib.uidaho.edu/index.php/poems/poem-for-happiness/,negative,-0.2245,0.1726,0.0252,0.1079,0.3852,0.3146,old paint cans; little brown body; long sunny avenue; loud water feature; dead spider; dishwashing gloves; primal reasons; nice way; yellow Kawasaki; beautiful candles; concrete ledge; green bin; pink umbrella; different direction; piece; paper; windowsill; wind; city; partway; doorway; wicks
Poem for Wine,Matthew Zapruder,"Jan 20, 2016",http://poetry.lib.uidaho.edu/index.php/poems/poem-for-wine/,negative,-0.0380,0.0784,0.0302,0.1077,0.4403,0.3062,anxious button; giant translucent; hilarity vector; excited licking; n’t drink; conversation clusters; pure wise; horrible corners; true ecstasy; analog porn; inevitable magazine; energy presence; hot person; feeling; chest; couch; Peru; wine; rabbit
